full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,164359,164359,25504,176,176,21,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,55734,55734,9175,33,33,6,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8987,8987,14531,2,2,1,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1229,1229,2211,0,0,3,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,40363,40363,3345,33,33,2,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,47424,47424,4665,30,30,4,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,32735,32735,2612,8,8,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24952,24952,2468,13,13,3,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,767,767,1123,0,0,1,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,3042,3042,3762,0,0,1,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2182,2182,3487,1,1,-1,https://github.com/ponponon/claude_code_src
Donchitos/Claude-Code-Game-Studios,15455,15455,2199,59,59,12,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,18011,18011,2055,17,17,1,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,7231,7231,1746,0,0,1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,9333,9333,1671,18,18,2,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9546,9546,1215,-1,-1,-1,https://github.com/diet103/claude-code-infrastructure-showcase
liuup/claude-code-analysis,1902,1902,1410,5,5,5,https://github.com/liuup/claude-code-analysis
frankbria/ralph-claude-code,8794,8794,659,1,1,1,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,7890,7890,582,2,2,0,https://github.com/ykdojo/claude-code-tips
hangsman/claude-code-source,757,757,1739,0,0,0,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2221,2221,2200,4,4,1,https://github.com/chauncygu/collection-claude-code-source-code
pedrohcgs/claude-code-my-workflow,967,967,1976,0,0,0,https://github.com/pedrohcgs/claude-code-my-workflow
ChrisWiles/claude-code-showcase,5830,5830,537,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
lintsinghua/claude-code-book,2899,2899,667,2,2,0,https://github.com/lintsinghua/claude-code-book
huangserva/claude-code-cli,559,559,1289,0,0,1,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3783,3783,553,0,0,0,https://github.com/OneRedOak/claude-code-workflows
Alishahryar1/free-claude-code,2936,2936,567,359,359,83,https://github.com/Alishahryar1/free-claude-code
anthropics/skills,122390,122390,14278,84,84,18,https://github.com/anthropics/skills
1rgs/claude-code-proxy,3466,3466,458,0,0,0,https://github.com/1rgs/claude-code-proxy
777genius/claude-code-source-code,898,898,1119,0,0,-2,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3548,3548,599,1,1,0,https://github.com/disler/claude-code-hooks-mastery
lorryjovens-hub/claude-code-rust,1431,1431,581,1,1,0,https://github.com/lorryjovens-hub/claude-code-rust
zebbern/claude-code-guide,3979,3979,379,2,2,0,https://github.com/zebbern/claude-code-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,7702,7702,388,9,9,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
FlorianBruniaux/claude-code-ultimate-guide,3837,3837,522,7,7,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
zstmfhy/Claude-code,191,191,285,0,0,0,https://github.com/zstmfhy/Claude-code
Yuyz0112/claude-code-reverse,2357,2357,404,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
kodu-ai/claude-coder,5276,5276,199,-1,-1,0,https://github.com/kodu-ai/claude-coder
